state,count
Maine,13
Vermont,7
New Hampshire,17
Massachusetts,39
Rhode Island,12
New York,98
Pennsylvania,63
New Jersey,37
Maryland,28
Delaware,10
Washington DC,20
Ohio,58
Virginia,49
North Carolina,56
South Carolina,12
Georgia,34
West Virginia,7
Kentucky,19
Tenessee,33
Alabama,17
Florida,73
Michigan,43
Illinois,61
Indiana,35
Louisiana,23
Mississippi,8
Iowa,14
Arkansas,5
Missouri,22
Wisconsin,30
Kansas,11
North Dakota,2
South Dakota,4
Oklahoma,12
Texas,55
Nebraska,10
Wyoming,2
Idaho,2
Nevada,5
Washington,33
Oregon,31
California,143
New Mexico,6
Hawaii,2
Alaska,1
Montana,7
Utah,4
Arizona,19
Minnesota,18
Colorado,14